track_id,frame_idx,timestamp,center_x,center_y,velocity_x,velocity_y,speed,class_name
1,0,0.0,565.385498046875,313.4344482421875,-2.9710286458333335,-0.9399515787760416,3.1161707566829238,car
1,1,0.16683333333333333,556.472412109375,310.6145935058594,-6.3414306640625,-1.6726277669270833,6.5583097299386255,car
1,2,0.33366666666666667,546.3612060546875,308.41656494140625,-16.516316731770832,-3.7150675455729165,16.92898240451393,car
1,3,0.5005000000000001,515.8365478515625,302.28924560546875,-17.050679524739582,-3.345855712890625,17.37585746680884,car
1,4,0.6673333333333333,505.32037353515625,300.5770263671875,-19.891337076822918,-3.81280517578125,20.253463259705843,car
1,5,0.8341666666666667,486.68719482421875,296.9781494140625,-16.03045654296875,-3.49652099609375,16.40735189030009,car
1,6,1.0010000000000001,467.74517822265625,291.7996826171875,-17.212554931640625,-3.17572021484375,17.503063907719508,car
1,7,1.1678333333333335,453.6827087402344,291.04986572265625,-17.670186360677082,-3.0934651692708335,17.93892451554859,car
1,8,1.3346666666666667,433.6766357421875,287.69775390625,-17.8148193359375,-2.6403401692708335,18.009419318277804,car
1,9,1.5015,414.30072021484375,283.878662109375,-16.121266682942707,-3.3089599609375,16.457352626885225,car
1,10,1.6683333333333334,405.31890869140625,281.12298583984375,-12.792622884114584,-2.9157206217447915,13.120694608108215,car
1,11,1.8351666666666668,395.29876708984375,278.9505920410156,-12.31231689453125,-1.8788655598958333,12.454849782455119,car
1,12,2.0020000000000002,377.36376953125,278.2420654296875,-12.87127685546875,-2.06591796875,13.03601875358154,car
1,13,2.1688333333333336,366.705078125,274.92523193359375,-15.700398763020834,-2.0698115030924478,15.836244535122585,car
1,14,2.335666666666667,348.19757080078125,272.7411575317383,-10.415695190429688,-0.347598393758138,10.421493700198804,car
1,18,3.003,339.8740234375,290.5736083984375,-9.903752644856771,0.7072518666585287,9.928973846949113,car
1,19,3.1698333333333335,330.75115966796875,290.42132568359375,-10.194574991861979,0.5175927480061849,10.207705987022072,car
1,20,3.336666666666667,311.3711853027344,287.66827392578125,-13.051503499348959,-1.716064453125,13.163837616774119,car
1,21,3.5035000000000003,300.7195129394531,285.4254150390625,-16.4805908203125,-3.3567708333333335,16.81897096180637,car
1,22,3.6703333333333337,281.30938720703125,280.35101318359375,-10.019411453546262,-2.4406271541819855,10.312384146315752,car
1,107,17.851166666666668,281.6123046875,279.958251953125,-8.088147212009803,-2.3456564510569855,8.42141493512386,car
1,108,18.018,276.7544250488281,278.00030517578125,-3.50859805836397,-1.1110169653799022,3.680301486633587,car
1,109,18.184833333333334,271.08294677734375,276.62982177734375,-3.5405917226532355,-1.01946418668017,3.6844398454098917,car
1,163,27.193833333333334,266.09241485595703,291.21185302734375,-3.343897030677324,-0.48241584683641997,3.378516301729433,car
1,165,27.527500000000003,257.55682373046875,290.51824951171875,-2.1358180104950324,-4.08873908902392,4.612971483985905,car
1,166,27.694333333333336,255.50958251953125,278.32879638671875,-2.7874259948730464,-8.241902669270834,8.700500174508802,car
2,0,0.0,515.7706909179688,342.9390869140625,-3.3238525390625,-0.8657430013020834,3.434749866545709,car
2,1,0.16683333333333333,505.79913330078125,340.34185791015625,-9.648193359375,-2.707026163736979,10.02075973921361,car
2,3,0.5005000000000001,467.85308837890625,329.2941589355469,-14.0084228515625,-4.301666259765625,14.654017995027317,car
2,5,0.8341666666666667,441.69171142578125,319.726318359375,-17.00860595703125,-5.365549723307292,17.834847922952466,car
2,6,1.0010000000000001,422.7196044921875,313.93743896484375,-10.852930704752604,-3.4571851094563804,11.390269257713303,car
2,14,2.335666666666667,418.671630859375,315.5473937988281,-12.957148234049479,-3.8869845072428384,13.52761394033247,car
2,16,2.6693333333333333,379.88494873046875,303.4007568359375,-13.097559611002604,-3.981797536214193,13.689440433530075,car
3,0,0.0,240.98048400878906,269.57910919189453,-3.2563985188802085,-0.5266138712565104,3.298704819041101,car
3,1,0.16683333333333333,231.21128845214844,267.999267578125,-6.4666086832682295,-1.2575709025065105,6.587754734152684,car
3,2,0.33366666666666667,221.58065795898438,265.806396484375,-11.768061319986979,-3.5589319864908853,12.29444037422776,car
3,3,0.5005000000000001,205.67630004882812,258.9023132324219,-8.406387329101562,-2.9718848334418406,8.916246261186426,car
3,21,3.5035000000000003,211.36117553710938,262.16571044921875,-4.156524658203125,-1.885565863715278,4.564214703611011,car
3,25,4.170833333333333,223.83700561523438,266.4300537109375,1.1439133231521499,0.41755149606835457,1.2177384541657195,car
3,119,19.853166666666667,223.55087280273438,266.9253234863281,0.3048630301833999,0.3833328138851948,0.4897810871948262,car
3,120,20.020000000000003,221.34954833984375,267.00396728515625,-1.1577427640874334,-0.22478587914865936,1.1793629633244578,car
3,121,20.186833333333336,220.0806884765625,266.2456970214844,-2.3576863606770835,-0.7220586140950523,2.465776473549786,car
3,122,20.35366666666667,216.47781372070312,264.75914764404297,-2.2418060302734375,-0.9329045613606773,2.4281691040736653,car
3,123,20.520500000000002,214.62413024902344,264.2052536010742,-2.4308675130208335,-0.7706197102864586,2.5500924696453806,car
3,124,20.687333333333335,212.7880859375,263.933837890625,-1.6154578072684151,0.023550487699962524,1.6156294601595322,car
3,152,25.358666666666668,180.40200805664062,289.020751953125,-0.9759212675548735,0.2283234369187125,1.0022743697772005,car
3,153,25.5255,180.46693420410156,289.0811767578125,-0.33865065801711314,0.12395586286272293,0.36062352129813424,car
3,155,25.85916666666667,180.61846923828125,287.9121398925781,0.1867955525716145,-0.22430928548177112,0.2919027817850962,car
3,156,26.026000000000003,181.0381622314453,287.7633056640625,0.2910130818684895,-0.33632914225260446,0.44475375855294225,car
3,157,26.192833333333336,181.41574096679688,287.4876708984375,1.7195078531901042,0.02601114908854137,1.7197045784260003,car
3,158,26.35966666666667,185.77699279785156,287.99017333984375,3.033360799153646,0.24312337239583304,3.043088351009081,car
4,0,0.0,291.7750244140625,235.34613037109375,0.2735188802083333,0.1201324462890625,0.29873798299147547,car
4,1,0.16683333333333333,292.5955810546875,235.70652770996094,0.7328084309895834,0.0608978271484375,0.7353344421967571,car
4,2,0.33366666666666667,293.97344970703125,235.52882385253906,0.668731689453125,0.183441162109375,0.6934354565746323,car
4,3,0.5005000000000001,293.7812194824219,235.89645385742188,0.26823679606119794,0.08146921793619792,0.28033589180180335,car
