track_id,frame_idx,timestamp,collision_risk,near_miss_risk,abrupt_brake_risk,mean_composite_risk,smoothed_risk,num_samples
1,0,0.0,0.0,0.6036451945994699,0.0,0.18109355837984095,0.18109355837984095,5
1,1,0.0,0.0,0.6855946791673562,0.0,0.20567840375020685,0.1884690119909507,5
1,2,0.0,0.0,0.0,0.0,0.0,0.13192830839366548,5
1,3,0.0,0.0,0.86417945900747,0.0,0.259253837702241,0.17012596718623813,5
1,4,0.0,0.0,0.0,0.0,0.0,0.11908817703036668,5
1,5,0.0,0.0,0.8915825917799207,0.0,0.2674747775339762,0.16360415718144955,5
1,6,0.0,0.0,0.8891776288782529,0.0,0.26675328866347586,0.19454889662605743,5
1,7,0.0,0.0,0.0,0.0,0.0,0.1361842276382402,5
1,8,0.0,0.0,0.0,0.0,0.0,0.09532895934676813,5
1,9,0.0,0.0,0.7882672509805613,0.0,0.23648017529416837,0.13767432413098818,5
1,10,0.0,0.0,0.6826419314996169,0.0,0.20479257944988505,0.15780980072665723,5
1,11,0.0,0.0,0.5650552001242748,0.0,0.1695165600372824,0.16132182851984478,5
1,12,0.0,0.0,0.3641816036294405,0.0,0.10925448108883215,0.14570162429054098,5
1,13,0.0,0.3212410156050328,0.2621940465833437,0.0,0.23927872177751955,0.17377475353663455,5
1,14,0.0,0.3440630208337205,0.7906806304815974,0.0,0.4092356995613395,0.244413037344046,5
1,18,0.0,0.0,0.4374715547714505,0.0,0.13124146643143514,0.21046156607026273,5
1,19,0.0,0.0,0.0,0.0,0.0,0.1473230962491839,5
1,20,0.0,0.0,0.7295911494265455,0.0,0.2188773448279636,0.1687893708228178,5
1,21,0.0,0.0,0.0,0.0,0.0,0.11815255957597245,5
1,22,0.0,0.0,0.0,0.0,0.0,0.08270679170318071,5
1,107,0.0,0.2697747425163844,0.8847223867566992,0.0,0.40030408728520195,0.17798598037778707,5
1,108,0.0,0.0,0.8289428775917331,0.0,0.2486828632775199,0.19919504524770693,5
1,109,0.0,0.0,0.7557697231525856,0.0,0.22673091694577568,0.20745580675712755,5
1,163,0.0,0.0,0.6765765982960108,0.0,0.2029729794888032,0.20611095857663023,5
1,165,0.0,0.0,0.6819733831377236,0.0,0.2045920149413171,0.20565527548603627,5
1,166,0.0,0.0,0.8491469902346707,0.0,0.2547440970704012,0.22038192196134576,5
2,0,0.0,0.0,0.8526831524073681,0.0,0.25580494572221046,0.25580494572221046,5
2,1,0.0,0.0,0.8706654968241315,0.0,0.2611996490472394,0.25742335671971917,5
